Team,Position,Defensive duels per 90,Aerial duels per 90,"Aerial duels won, %",PAdj Interceptions,Non-penalty goals per 90,xG per 90,Shots per 90,"Shots on target, %","Goal conversion, %",Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,Touches in box per 90,Progressive runs per 90,Accelerations per 90,Passes per 90,"Accurate passes, %",xA per 90,Smart passes per 90,Key passes per 90,Passes to final third per 90,Passes to penalty area per 90,"Accurate passes to penalty area, %",Deep completions per 90,Distance,Club Fit %,League,League Strength,Adjusted Fit %,Avg Team Market Value,Final Fit %
Deportivo Alavés,"CF, AMF",2.46,6.15,56.67,2.23,0.0,0.26,1.03,40.0,20.0,0.82,25.0,2.26,45.45,7.79,2.67,0.62,0.21,12.3,71.67,0.16,0.21,0.21,1.03,1.03,100.0,0.82,11.238760980501842,55.14,Spain 1.,94.29,40.91387999999999,2833333.3333333335,43.63971599999999
Derby County,CF,3.16,4.945,28.82,1.6400000000000001,0.195,0.27,1.385,67.975,15.3595,0.605,38.635,0.48000000000000004,78.125,4.735,2.63,0.255,0.01,12.21,69.05499999999999,0.04,0.025,0.1,1.46,0.755,69.85499999999999,0.6799999999999999,14.491606675459384,34.38,England 2.,71.43,31.235123879999996,1683333.3333333333,36.86458671599999
Derby County,"CF, AMF",5.82,5.82,27.71,3.85,0.14,0.12,1.09,29.03,12.903,1.79,23.53,2.42,46.38,6.84,2.17,0.67,0.11,21.89,67.15,0.11,0.18,0.14,3.16,1.65,44.68,0.6,12.42222057057572,47.59,England 2.,71.43,43.23675234,1683333.3333333333,45.265726638000004
Eintracht Frankfurt,CF,2.215,2.81,27.015,1.555,0.605,0.6599999999999999,3.9699999999999998,44.644999999999996,16.8315,1.065,39.285,5.414999999999999,50.17,14.385,5.025,3.2350000000000003,0.755,19.520000000000003,79.35,0.25,0.30000000000000004,0.655,1.52,1.7850000000000001,70.11,1.545,11.721727346957922,52.06,Germany 1.,94.29,38.628519999999995,21000000.0,42.039964
Empoli,CF,3.78,4.78,4.17,1.24,0.6,0.07,1.39,57.14,42.857,0.6,0.0,2.39,58.33,13.14,1.79,2.39,0.0,12.94,73.85,0.05,0.0,0.4,0.8,0.8,50.0,0.8,14.78638880110165,32.49,Italy 1.,97.14,24.10758,4800000.0,37.446734571428564
Empoli,"CF, AMF, LWF",3.54,10.26,54.93,2.17,0.07,0.29,1.66,26.09,4.348,1.01,42.86,1.66,47.83,9.25,3.18,1.08,0.22,20.01,74.37,0.15,0.29,0.43,1.73,2.02,42.86,0.87,9.889688680781946,63.75,Italy 1.,97.14,47.3025,4800000.0,53.68317857142857
Empoli,"CF, AMF, RWF",3.0,3.64,29.41,1.22,0.0,0.08,0.43,75.0,0.0,0.75,28.57,1.5,35.71,4.39,1.93,1.39,0.54,20.79,78.87,0.01,0.0,0.0,2.04,1.29,50.0,0.75,15.113098244618268,30.41,Italy 1.,97.14,22.56422,4800000.0,36.36638257142857
Empoli,"CF, RWF",4.38,7.09,25.53,2.35,0.19,0.25,1.85,36.73,12.245,0.72,31.58,2.15,50.88,11.05,2.49,0.91,0.38,16.67,72.85,0.04,0.11,0.19,1.92,1.28,44.12,0.57,11.003298198929905,56.65,Italy 1.,97.14,42.034299999999995,4800000.0,49.995438571428565
Empoli,"CF, RWF, AMF",6.39,3.1,27.06,2.53,0.26,0.25,2.15,35.59,13.559,1.72,29.79,2.52,49.28,10.44,2.55,1.06,0.29,24.05,66.31,0.07,0.33,0.22,4.27,3.28,40.0,0.95,11.973408704545959,50.45,Italy 1.,97.14,37.433899999999994,4800000.0,46.77515857142856
Espanyol,CF,3.28,6.453333333333333,36.156666666666666,2.2933333333333334,0.17666666666666667,0.18333333333333335,1.1199999999999999,40.596666666666664,16.452666666666666,0.15666666666666665,8.333333333333334,1.2566666666666666,45.23666666666667,8.786666666666667,2.223333333333333,0.63,0.03666666666666667,11.296666666666667,78.07,0.03333333333333333,0.13333333333333333,0.13999999999999999,0.9333333333333332,0.2966666666666667,22.223333333333333,0.43,12.062293210163276,49.88,Spain 1.,94.29,37.01096,5220000.0,48.27910057142857
Espanyol,"CF, LW, LAMF",4.55,1.99,35.765,2.23,0.165,0.195,1.44,36.175,15.341,1.6800000000000002,34.72,2.19,46.875,5.73,2.575,1.895,0.51,19.365000000000002,73.155,0.06,0.265,0.375,2.225,2.02,52.165000000000006,0.7,11.152551046955429,55.69,Spain 1.,94.29,41.32197999999999,5220000.0,51.296814571428555
Everton,CF,2.87,10.7,40.815,1.8650000000000002,0.285,0.405,2.2249999999999996,47.620000000000005,12.6625,0.645,21.325,1.705,44.735,9.16,3.8449999999999998,1.14,0.1,11.57,68.45,0.035,0.0,0.125,0.78,0.615,59.44,0.46499999999999997,8.917210443342974,69.96,England 1.,100.0,51.91031999999999,21000000.0,51.33722399999999
Fiorentina,CF,1.92,2.94,44.21,1.41,0.56,0.6,3.19,50.49,18.447,0.31,40.0,3.47,53.57,11.56,3.5,1.21,0.28,8.86,75.87,0.04,0.06,0.22,0.56,0.5,62.5,0.4,10.583010417458125,59.33,Italy 1.,97.14,44.022859999999994,16666666.666666666,45.816002
Fiorentina,"CF, AMF",4.29,4.03,35.11,1.97,0.13,0.24,1.2,35.71,17.857,0.43,40.0,1.41,36.36,9.0,1.93,0.81,0.21,23.71,82.46,0.09,0.21,0.3,2.79,1.29,70.0,0.86,11.325520865821538,54.59,Italy 1.,97.14,40.505779999999994,16666666.666666666,43.354046
Fiorentina,"CF, RAMF",3.61,2.94,26.92,1.41,0.23,0.31,2.26,50.0,10.0,1.36,33.33,3.95,51.43,16.49,2.94,1.47,1.02,19.31,80.12,0.13,0.34,0.56,1.81,1.92,41.18,1.24,11.424944448717383,53.95,Italy 1.,97.14,40.030899999999995,16666666.666666666,43.021629999999995
Freiburg,CF,2.875,9.955,31.005000000000003,2.575,0.18,0.29500000000000004,1.71,39.17,10.369,0.44,21.43,0.875,32.065,6.845000000000001,3.125,0.65,0.06,14.93,69.965,0.085,0.025,0.235,1.47,0.9950000000000001,55.21,0.8,8.50064795064628,72.62,Germany 1.,94.29,53.884040000000006,6000000.0,63.43311371428571
Fulham,CF,2.545,8.985,41.644999999999996,2.255,0.46499999999999997,0.525,2.8499999999999996,44.185,18.0875,0.61,23.61,1.38,53.68,8.445,4.395,0.6950000000000001,0.245,14.594999999999999,73.36,0.05,0.14500000000000002,0.135,1.8599999999999999,0.6950000000000001,58.335,0.71,7.994274054191088,75.85,England 1.,100.0,56.28069999999998,12500000.0,54.396489999999986
Genk,CF,1.97,6.82,53.82,1.76,0.58,0.71,3.64,35.34,15.789,0.3,36.36,1.15,42.86,8.68,6.52,0.68,0.05,15.86,79.27,0.07,0.11,0.36,1.04,0.36,53.85,0.82,9.1646793795004,68.38,Belgium 1.,68.57,64.19801596,3650000.0,60.58146831485715
Genk,"CF, AMF",2.5,6.96,35.94,2.27,0.65,0.81,4.03,56.76,24.324,0.65,33.33,3.92,50.0,10.45,4.79,1.96,0.54,17.63,77.78,0.09,0.11,0.54,1.85,0.98,55.56,1.09,9.528144120394522,66.06,Belgium 1.,68.57,62.01990252,3650000.0,59.056788906857136
Genoa,CF,1.5,6.73,36.4,1.68,0.27,0.27,1.95,42.42,13.636,0.8,29.63,1.21,58.54,7.67,2.74,0.44,0.0,17.23,71.06,0.02,0.03,0.15,1.74,0.88,40.0,0.21,11.558556526254815,53.1,Italy 1.,97.14,39.4002,7625000.0,54.90156857142857
Genoa,"CF, LAMF",3.93,5.58,35.19,2.71,0.1,0.12,1.03,30.0,10.0,1.03,10.0,2.17,47.62,9.2,2.07,0.72,0.41,15.6,70.2,0.12,0.21,0.31,1.65,1.45,28.57,0.83,11.80383728399701,51.53,Italy 1.,97.14,38.23525999999999,7625000.0,54.08611057142856
Genoa,"CF, LWF, RW",6.34,4.16,47.76,4.1,0.12,0.13,1.8,13.79,6.897,2.48,30.0,4.35,52.86,13.17,2.92,1.68,0.5,17.45,65.48,0.24,0.12,0.62,1.8,1.93,45.16,0.75,13.027307468859572,43.72,Italy 1.,97.14,32.440239999999996,7625000.0,50.02959657142857
Genoa,"CF, RWF",2.25,4.77,32.35,1.36,0.14,0.43,2.39,41.18,5.882,0.56,75.0,1.12,75.0,9.97,3.37,1.26,0.28,14.32,75.49,0.1,0.14,0.14,1.26,0.56,75.0,0.42,12.944827433270959,44.25,Italy 1.,97.14,32.8335,7625000.0,50.304878571428574
Gent,CF,2.513333333333333,4.34,34.78333333333333,1.3399999999999999,0.2966666666666667,0.36000000000000004,1.9833333333333334,45.77333333333333,19.547,0.9500000000000001,30.046666666666667,1.6933333333333334,48.870000000000005,7.623333333333334,3.4633333333333334,1.0366666666666668,0.20666666666666667,18.926666666666666,72.08,0.10666666666666667,0.19999999999999998,0.45333333333333337,2.046666666666667,1.3399999999999999,66.29333333333334,0.8966666666666666,7.866554396681659,76.67,Belgium 1.,68.57,71.98101614000001,1075000.0,65.386711298
Gent,"CF, LWF",4.25,3.44,23.81,1.07,0.0,0.39,3.27,30.0,0.0,0.82,20.0,4.09,40.0,8.35,4.58,3.27,0.49,13.58,73.49,0.0,0.0,0.0,0.98,0.98,66.67,0.49,12.588185824250141,46.53,Belgium 1.,68.57,43.68431826,1075000.0,45.579022781999996
Getafe,CF,3.313333333333334,11.936666666666667,38.903333333333336,3.1,0.18333333333333335,0.22,1.43,50.79333333333333,14.814999999999998,0.5966666666666667,31.849999999999998,1.7566666666666666,49.833333333333336,8.646666666666667,2.526666666666667,0.38333333333333336,0.056666666666666664,13.463333333333333,74.45666666666666,0.023333333333333334,0.06333333333333334,0.07333333333333335,1.3666666666666665,0.8633333333333333,46.75,0.45,11.26655893475332,54.96,Spain 1.,94.29,40.780319999999996,4900000.0,49.546223999999995
Getafe,"CF, LAMF, LW",6.89,2.1,40.0,2.65,0.0,0.26,1.34,43.75,0.0,0.5,0.0,1.09,46.15,5.97,2.86,0.67,0.0,17.14,79.41,0.01,0.0,0.0,1.01,0.76,55.56,0.92,12.358925565450807,47.99,Spain 1.,94.29,35.608579999999996,4900000.0,45.926006
Getafe,"CF, LW",4.28,8.42,35.71,1.98,0.13,0.14,1.57,31.91,8.511,0.84,28.0,3.54,39.62,15.55,2.57,1.37,0.27,17.65,73.3,0.07,0.07,0.33,2.24,1.2,38.89,0.5,11.393993025739109,54.15,Spain 1.,94.29,40.17929999999999,4900000.0,49.12550999999999
Girona,CF,2.6033333333333335,3.2433333333333336,26.330000000000002,2.1666666666666665,0.32,0.3766666666666667,1.4966666666666664,48.339999999999996,24.906333333333333,0.39666666666666667,20.74,0.5766666666666667,52.94,4.11,2.9066666666666663,0.35333333333333333,0.10333333333333333,11.813333333333333,82.33,0.023333333333333334,0.06333333333333334,0.12666666666666668,0.7799999999999999,0.4166666666666667,52.379999999999995,0.43,11.275530736185212,54.91,Spain 1.,94.29,40.743219999999994,6860000.0,57.92025399999999
Girona,"CF, AMF, LAMF",4.34,2.56,26.92,1.8,0.1,0.11,0.69,57.14,14.286,1.68,35.29,1.38,57.14,4.63,2.37,1.38,0.39,20.9,80.19,0.14,0.0,0.39,1.38,1.77,50.0,0.99,12.914530365712759,44.44,Spain 1.,94.29,32.97447999999999,6860000.0,52.482136
Girona,"CF, LAMF, LW",2.99,0.37,42.86,1.49,0.21,0.25,1.81,50.0,11.765,3.31,35.48,6.72,60.32,11.04,4.05,4.48,0.43,22.73,78.17,0.14,0.11,0.59,1.71,3.25,52.46,0.96,13.709753297972583,39.37,Spain 1.,94.29,29.212539999999994,6860000.0,49.848777999999996
Heidenheim,CF,3.82,6.97,25.61,2.45,0.17,0.24,1.61,47.37,10.526,0.59,42.86,2.21,38.46,8.67,2.89,1.19,0.42,16.15,74.74,0.09,0.0,0.34,0.85,1.36,62.5,0.85,9.420780942779322,66.75,Germany 1.,94.29,49.528499999999994,1700000.0,49.66994999999999
Heidenheim,"CF, AMF",3.3,8.41,34.93,2.59,0.16,0.35,2.13,35.85,11.321,0.52,23.08,1.37,32.35,6.48,3.02,0.72,0.04,18.84,70.3,0.13,0.2,0.52,2.25,1.13,50.0,0.93,7.463639151985371,79.24,Germany 1.,94.29,58.796079999999996,1700000.0,56.157256
Heidenheim,"CF, LB, LAMF",4.54,3.83,40.74,4.76,0.35,0.27,1.98,39.29,17.857,2.41,47.06,1.91,59.26,6.17,2.41,2.06,0.21,27.57,75.32,0.11,0.0,0.14,2.41,1.91,51.85,0.28,11.535822482861109,53.25,Germany 1.,94.29,39.51149999999999,1700000.0,42.65804999999999
Hellas Verona,CF,3.473333333333333,8.143333333333333,30.573333333333334,1.8266666666666664,0.25333333333333335,0.3233333333333333,1.9666666666666668,32.23666666666667,15.276333333333332,0.6266666666666666,21.113333333333333,1.5933333333333335,58.77333333333333,7.62,3.0100000000000002,0.9800000000000001,0.14333333333333334,16.653333333333332,74.68666666666667,0.043333333333333335,0.08333333333333333,0.27,1.5566666666666666,0.8166666666666668,56.64333333333334,0.5766666666666667,10.290431670458434,61.2,Italy 1.,97.14,45.410399999999996,1425000.0,46.787279999999996
Hellas Verona,"CF, AMF, LWF",5.74,7.71,31.11,1.72,0.09,0.15,1.03,33.33,8.333,2.31,11.11,2.91,47.06,8.31,2.66,1.46,0.17,13.46,62.42,0.08,0.0,0.17,0.94,1.37,25.0,0.51,12.855791533757058,44.82,Italy 1.,97.14,33.25643999999999,1425000.0,38.27950799999999
Hoffenheim,CF,2.74,5.775,34.21,2.25,0.39,0.28,1.735,41.739999999999995,26.5215,0.505,22.5,1.18,27.775,6.875,3.515,0.39,0.0,16.884999999999998,71.59,0.02,0.06,0.1,1.2,0.77,42.86,0.505,8.986359412317416,69.52,Germany 1.,94.29,51.583839999999995,3600000.0,51.53725942857142
Hoffenheim,"CF, LAMF",2.99,8.44,37.5,2.5,0.0,0.14,1.76,40.0,0.0,0.35,0.0,1.05,66.67,8.44,4.57,0.35,0.0,15.47,75.0,0.07,0.0,0.18,0.7,0.53,100.0,1.05,12.569800639078252,46.64,Germany 1.,94.29,34.60688,3600000.0,39.65338742857142
Hoffenheim,"CF, LAMF, LWB",3.14,2.7,34.55,1.59,0.34,0.17,1.57,53.13,21.875,4.32,28.41,4.61,64.89,10.64,3.53,1.72,0.44,25.95,68.81,0.11,0.15,0.54,2.65,3.87,45.57,1.03,13.29404164615306,42.02,Germany 1.,94.29,31.17884,3600000.0,37.25375942857143
Hoffenheim,"CF, RAMF, AMF",3.69,4.31,46.39,2.36,0.36,0.28,2.49,42.86,14.286,1.15,30.77,3.11,64.29,11.1,3.86,2.04,0.22,21.53,74.23,0.12,0.04,0.49,2.58,1.64,72.97,1.07,9.979095483601789,63.18,Germany 1.,94.29,46.87956,3600000.0,48.24426342857143
Holstein Kiel,CF,3.9233333333333333,5.773333333333333,33.10333333333333,2.263333333333333,0.21,0.3233333333333333,1.9733333333333334,46.06999999999999,13.009666666666666,1.4133333333333333,43.44,2.65,38.28,9.256666666666668,3.0733333333333337,0.8333333333333334,0.3,14.88,63.71666666666667,0.11333333333333333,0.17333333333333334,0.52,1.7333333333333332,1.4466666666666665,60.74333333333334,0.8000000000000002,8.925597161605163,69.91,Germany 1.,94.29,51.87321999999999,1220000.0,51.31125399999999
Holstein Kiel,"CF, AMF",4.12,1.87,20.0,3.58,0.31,0.23,2.19,42.86,17.143,1.81,55.17,1.56,40.0,6.62,2.44,1.06,0.37,25.67,73.97,0.16,0.25,0.62,3.37,2.56,60.98,1.0,10.547198540082501,59.56,Germany 1.,94.29,44.19352,1220000.0,45.935463999999996
Holstein Kiel,"CF, LWF",2.62,3.29,33.33,2.15,0.38,0.32,1.94,50.0,23.913,1.65,38.46,1.27,53.33,5.15,2.37,0.97,0.3,23.4,73.29,0.13,0.25,0.42,2.49,1.73,53.66,0.68,9.650018415998113,65.28,Germany 1.,94.29,48.43776,1220000.0,48.906431999999995
Hull City,CF,3.31,4.8149999999999995,28.9,1.935,0.20500000000000002,0.24,1.22,50.925,20.486,0.06,0.0,1.6099999999999999,43.65,7.045,2.38,0.495,0.065,9.3,79.55000000000001,0.05,0.04,0.18,0.785,0.44,50.0,0.47,11.461923089304108,53.72,England 2.,71.43,48.806016719999995,1850000.0,49.164211703999996
Hull City,"CF, AMF, LCMF",7.02,4.85,42.55,3.59,0.31,0.23,1.03,50.0,30.0,0.21,0.0,0.52,60.0,5.37,1.86,0.83,0.1,27.04,83.59,0.06,0.41,0.1,4.33,1.14,72.73,1.14,14.065354976504068,37.1,England 2.,71.43,33.7063146,1850000.0,38.594420219999996
Hull City,"CF, LAMF",5.13,8.15,38.14,3.98,0.0,0.18,0.84,40.0,0.0,1.51,22.22,2.86,41.18,7.65,2.94,1.43,0.25,14.12,66.67,0.05,0.08,0.08,0.92,1.09,30.77,0.5,12.339694733349923,48.11,England 2.,71.43,43.70918586,1850000.0,45.596430102
Internazionale,CF,2.895,3.8875,44.5625,2.2775,0.3725,0.42000000000000004,2.1799999999999997,40.715,17.74475,0.5974999999999999,42.1525,1.595,57.4625,7.31,4.8575,1.1775,0.2175,20.4625,79.32,0.135,0.245,0.5825,1.4525,1.4649999999999999,65.42750000000001,1.6524999999999999,7.536893966464575,78.77,Italy 1.,97.14,58.44733999999999,39000000.0,55.91313799999999
Internazionale,"CF, AMF",3.57,2.92,25.93,2.47,0.22,0.21,1.3,50.0,16.667,0.87,37.5,1.41,69.23,4.77,3.57,2.27,0.22,39.1,89.47,0.17,0.32,0.43,4.77,1.84,82.35,1.95,15.611800997076248,27.22,Italy 1.,97.14,20.197239999999994,39000000.0,29.138067999999997
Ipswich Town,CF,2.775,5.695,46.575,1.3599999999999999,0.335,0.305,1.83,48.44,20.0895,0.44500000000000006,25.0,2.345,62.54,8.969999999999999,2.645,1.7049999999999998,0.315,10.605,64.755,0.035,0.065,0.23,0.895,0.8099999999999999,51.665,0.66,12.01012750110477,50.22,England 1.,100.0,37.263239999999996,6000000.0,51.7985537142857
Juventus,CF,3.095,3.25,29.565,1.4249999999999998,0.395,0.495,2.5549999999999997,48.0,23.143,1.02,23.335,3.085,45.349999999999994,9.345,4.795,1.13,0.060000000000000005,15.11,72.995,0.07,0.14500000000000002,0.395,0.96,0.9950000000000001,51.055,0.755,7.288329324543891,80.36,Italy 1.,97.14,59.62712,55000000.0,56.738983999999995
Kortrijk,CF,3.99,9.925,38.24,2.37,0.145,0.315,1.955,30.515,8.3335,0.81,17.145,3.16,47.75,11.81,3.365,1.25,0.475,14.815,69.86,0.015,0.085,0.09,1.145,0.77,44.0,0.51,10.697060982023954,58.6,Belgium 1.,68.57,55.01614119999999,566666.6666666666,53.511298839999995
Kortrijk,"CF, LWF",3.16,7.73,41.41,2.32,0.2,0.28,2.11,38.89,11.111,1.6,24.39,5.0,53.13,13.4,4.3,1.68,0.08,22.66,75.86,0.11,0.08,0.59,2.77,1.48,47.37,1.33,9.756569040930065,64.6,Belgium 1.,68.57,60.64919319999999,566666.6666666666,57.454435239999995
Las Palmas,CF,2.98,7.445,39.739999999999995,2.625,0.245,0.315,1.705,47.415,15.588999999999999,0.685,40.665,1.9249999999999998,49.445,8.605,3.49,0.9349999999999999,0.175,16.5,73.71,0.08499999999999999,0.09,0.265,1.325,0.845,59.910000000000004,0.6399999999999999,8.346111003740315,73.61,Spain 1.,94.29,54.618619999999986,5466666.666666667,61.66160542857142
Las Palmas,"CF, RAMF",3.47,6.32,41.67,2.65,0.0,0.29,1.58,40.0,0.0,1.16,27.27,0.84,50.0,5.68,3.47,0.42,0.0,17.16,72.39,0.01,0.0,0.11,0.95,0.84,37.5,0.21,11.463011407213918,53.71,Spain 1.,94.29,39.85282,5466666.666666667,51.32554542857143
Lazio,CF,3.01,5.22,44.97,2.27,0.28,0.52,3.43,41.84,10.204,1.19,29.41,1.82,44.23,5.67,4.9,0.88,0.18,17.78,72.24,0.11,0.42,0.49,2.49,1.23,37.14,0.91,7.864187367937315,76.69,Italy 1.,97.14,56.90397999999998,12500000.0,54.832785999999984
Lazio,"CF, LAMF",4.27,5.96,38.81,2.81,0.18,0.19,1.42,37.5,12.5,1.33,26.67,1.69,57.89,7.56,2.93,1.51,0.09,20.01,76.89,0.06,0.27,0.36,1.33,1.78,55.0,0.8,11.015140439569572,56.57,Italy 1.,97.14,41.97493999999999,12500000.0,44.382457999999986
Le Havre,CF,3.1799999999999997,5.515000000000001,36.79,1.865,0.20500000000000002,0.25,1.4649999999999999,44.72,18.611,0.25,11.11,0.635,44.285,5.615,2.21,0.055,0.0,13.05,82.3,0.030000000000000002,0.05,0.08,1.2149999999999999,0.33999999999999997,61.905,0.295,11.80801248378617,51.51,France 1.,91.43,38.22041999999999,1100000.0,41.75429399999999
Lecce,CF,2.03,7.09,34.88,1.21,0.25,0.37,3.44,32.0,8.8,0.33,16.67,2.09,46.05,9.7,3.24,1.35,0.33,15.61,70.42,0.07,0.16,0.3,1.54,0.93,47.06,0.69,9.655374673954142,65.25,Italy 1.,97.14,48.415499999999994,4100000.0,51.46227857142857
Lecce,"CF, LAMF",5.54,6.35,31.75,2.21,0.1,0.2,1.31,38.46,7.692,2.52,16.0,4.43,54.55,11.89,4.23,1.61,0.2,27.11,66.91,0.11,0.91,0.3,2.72,3.12,41.94,1.21,13.581032143758215,40.19,Italy 1.,97.14,29.82097999999999,4100000.0,38.446114571428566
Leeds United,CF,2.925,4.97,16.94,2.88,0.33499999999999996,0.465,2.44,42.56,14.061,0.5,31.665,1.46,41.0,8.059999999999999,3.4749999999999996,1.04,0.09,18.09,77.805,0.07,0.28500000000000003,0.33999999999999997,1.83,1.2149999999999999,63.655,0.9199999999999999,8.333187725027278,73.69,England 2.,71.43,66.94928094,7600000.0,74.29306808657142
Leganés,CF,3.7299999999999995,7.42,36.655,1.78,0.0,0.165,0.9349999999999999,45.97,1.613,0.285,16.665,0.975,71.62,7.105,1.775,0.48,0.045,12.04,64.36,0.045,0.14500000000000002,0.22,1.205,0.55,71.055,0.265,15.632444089491495,27.09,Spain 1.,94.29,20.100779999999997,3840000.0,30.527688857142856
Leganés,"CF, LWF",1.81,9.49,30.28,1.57,0.2,0.25,1.6,33.33,12.5,0.6,11.11,0.87,30.77,7.02,2.61,0.67,0.07,10.43,69.23,0.0,0.0,0.0,1.34,0.6,22.22,0.07,12.149489181237078,49.33,Spain 1.,94.29,36.60286,3840000.0,42.07914485714286
Leganés,"CF, LWF, AMF",3.84,3.84,28.57,1.74,0.37,0.15,1.74,47.37,21.053,1.1,33.33,2.47,55.56,10.6,1.37,0.82,0.09,22.84,78.8,0.04,0.09,0.27,2.19,1.74,52.63,0.64,12.914039243688638,44.45,Spain 1.,94.29,32.981899999999996,3840000.0,39.54447285714285
Leganés,"CF, RW, RAMF",5.49,1.28,13.79,3.25,0.18,0.33,1.9,37.21,18.605,1.37,61.29,4.43,61.0,13.68,1.55,1.9,0.31,23.86,75.14,0.23,0.44,0.84,3.76,2.66,50.0,1.06,14.449793318931503,34.64,Spain 1.,94.29,25.702879999999997,3840000.0,34.449158857142855
Leicester City,CF,2.31,3.6,40.83,1.19,0.21,0.31,1.5,50.0,16.0,0.63,23.81,0.78,69.23,2.82,2.97,0.6,0.09,9.79,76.07,0.1,0.0,0.42,0.63,0.45,73.33,0.6,12.17282446348307,49.18,England 1.,100.0,36.49155999999999,6500000.0,53.40123485714285
Leicester City,"CF, RWF, RW",5.77,4.51,32.56,1.58,0.1,0.15,1.15,36.36,9.091,0.42,0.0,1.36,38.46,4.93,2.41,1.05,0.31,14.48,76.09,0.0,0.1,0.0,1.05,0.63,16.67,0.1,13.428397926680267,41.16,England 1.,100.0,30.540719999999997,6500000.0,49.235646857142854
Lens,CF,2.38,4.475,32.355,1.585,0.36,0.425,2.7,40.915000000000006,13.575,0.34,14.285,2.4050000000000002,50.33,11.219999999999999,4.88,0.9550000000000001,0.15,16.05,77.50999999999999,0.08,0.0,0.28,1.185,0.84,61.925,0.98,7.70717120160746,77.69,France 1.,91.43,57.645979999999994,3000000.0,55.352185999999996
Lens,"CF, LW",4.82,2.68,40.0,1.09,0.27,0.28,1.52,41.18,17.647,0.71,25.0,1.79,45.0,6.07,3.57,1.43,0.09,21.25,81.09,0.09,0.27,0.27,1.7,1.88,61.9,1.52,9.176832303638164,68.31,France 1.,91.43,50.68601999999999,3000000.0,50.48021399999999
Lens,"CF, RW, LB",5.81,2.02,37.5,2.68,0.25,0.33,1.64,38.46,15.385,2.65,42.86,3.03,58.33,9.85,3.91,0.88,0.25,20.83,75.76,0.1,0.25,0.38,1.39,1.89,60.0,0.5,10.157540614423603,62.04,France 1.,91.43,46.03368,3000000.0,47.223575999999994
Lens,"CF, RW, RCMF",3.43,3.66,55.7,3.9,0.05,0.23,1.85,42.5,2.5,3.98,32.56,2.32,52.0,5.84,3.66,2.13,0.05,43.77,75.98,0.06,0.46,0.37,5.47,3.89,51.19,1.44,15.917883416691934,25.27,France 1.,91.43,18.750339999999998,3000000.0,28.125237999999996
Lille,CF,3.0999999999999996,2.875,39.705,1.98,0.28500000000000003,0.6200000000000001,2.2199999999999998,55.93,20.274,0.385,54.17,1.3599999999999999,67.405,6.795,3.7750000000000004,0.655,0.225,16.32,80.13499999999999,0.1,0.13,0.48,1.02,0.785,87.88,1.01,10.184688360790318,61.87,France 1.,91.43,45.90754,31000000.0,47.135278
